Address,Date time,Latitude,Longitude,Resolved Address,Name,Wind Direction,Minimum Temperature,Maximum Temperature,Temperature,Wind Speed,Cloud Cover,Heat Index,Chance Precipitation (%),Precipitation,Sea Level Pressure,Snow Depth,Snow,Relative Humidity,Wind Gust,Wind Chill,Conditions
"brussels,BE","03/29/2023",50.8444,4.35609,"Brussels, Belgium","brussels,BE",193.8,13.5,15.2,14.1,14.4,100.0,,4.8,0.5,1011.1,0.0,0.0,75.7,40.7,,"Overcast"
"brussels,BE","03/30/2023",50.8444,4.35609,"Brussels, Belgium","brussels,BE",221.1,11.0,14.6,12.7,18.4,82.1,,95.2,3.1,1008.1,0.0,0.0,78.4,67.0,7.2,"Rain, Overcast"
